term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
ethnicity_minority,-0.02957397299350633,0.073970565178226,-0.39980731419653576,0.7013377785046162,-0.20485557745590383,0.14570763146889115,6.92803155901783,Stress,M1
education,0.05744162173642589,0.04855840131562228,1.1829388979069557,0.26441505195549925,-0.05087524521103212,0.1657584886838839,9.917577564349129,Stress,M1
employmentPart-time/casual,0.028980246652769995,0.07696507410248317,0.37653763074639834,0.7144705005703021,-0.1427707364853251,0.20073122979086508,9.88864905055007,Stress,M1
employmentStudent,0.075114194929219,0.09547665642425174,0.7867283767819447,0.4540274525613276,-0.1449062722308681,0.2951346620893061,8.031264306523711,Stress,M1
employmentNot working,-0.15615323385140625,0.07809334311413076,-1.9995716359996734,0.07777415687899933,-0.33381049405494045,0.021504026352127947,8.679980907588963,Stress,M1
comorbidity,0.3531687278295003,0.07411124254222547,4.765386677038637,9.482765082789206e-4,0.18619331328931898,0.5201441423696817,9.245391682921683,Stress,M1
gen_health,-0.1836854647923987,0.039931806270662146,-4.599978862647949,0.0010195631465596145,-0.2728430947821643,-0.09452783480263313,9.849983871308114,Stress,M1
(Intercept),0.48300561157561334,0.45448656871612075,1.0627500234826655,0.317454764700706,-0.5562002406867548,1.5222114638379816,8.410724616846123,Stress,M2
countryNepal,-0.07163762426793709,0.19379739207577112,-0.36965215837335996,0.7249772496807858,-0.551894556310293,0.40861930777441885,5.702967819744843,Stress,M2
countryVietnam,-0.1045042850868505,0.15529999222638793,-0.6729188043648437,0.5267793036852241,-0.4873017501401678,0.2782931799664668,5.82454775294247,Stress,M2
age,-0.011561796746769243,0.004076252994108099,-2.836378596588805,0.01739252239859606,-0.020624382870902444,-0.00249921062263604,10.164389190114983,Stress,M2
female,0.1908816590787003,0.08956179105197923,2.131284522524988,0.059618327042221295,-0.009404740256929112,0.3911680584143297,9.73795539329075,Stress,M2
ethnicity_minority,-0.03174400905395228,0.07919380951791272,-0.4008395258062709,0.7008584597332236,-0.22021276551279964,0.1567247474048951,6.785771188665831,Stress,M2
education,0.042466358050108795,0.04434014043312377,0.9577407206041415,0.36134972216832806,-0.05668064809224407,0.14161336419246165,9.74537348351309,Stress,M2
employmentPart-time/casual,0.09191085387423387,0.06599083946652547,1.3927820075823796,0.19449340950673458,-0.055547209295919386,0.23936891704438712,9.79350993769477,Stress,M2
employmentStudent,0.0702133662529446,0.1627256676431521,0.4314830430250156,0.6769984263944833,-0.30206049626642906,0.4424872287723183,8.384210537211654,Stress,M2
employmentNot working,-0.06594094036437247,0.07294659208979233,-0.9039619052142096,0.3908738452215488,-0.2324027699908756,0.1005208892621307,8.514607055420134,Stress,M2
comorbidity,0.32348871263495005,0.06947482655147029,4.656200363383334,0.0011397107765917036,0.1667210807654575,0.4802563445044426,9.151357043970872,Stress,M2
